The Warrior Who Carried Life,Geoff Ryman
Enchanted Paradise,Marcia Yvonne Howl
Crystal Paradise,Marcia Yvonne Howl
Beloved Paradise,Marcia Yvonne Howl
Ghost Of A Hanged Man,Vivian Vande Velde
Smart Dog,Vivian Vande Velde
Conan And The Treasure Of Python,John Maddox Roberts
Saturn's Child,Margaret Wander Bonanno
Harlot's Ruse,Esther M Friesner
Rust Bucket,Atk Butterfly
Word-Bringer,Edward Llewellyn
The Path Of Exoterra,Gordon Mcbain
Heart Of The Hero,Rickey R Mallory
Larissa,Emily Devenport
Scorpianne,Emily Devenport
Master Of Hawks,Linda E Bushyager
Warrior Witch Of Hel,Asa Drake
The Armor Of Light,Lisa A Barnett
Quayle's Invention,John Taine
The Gold Tooth,John Taine
Othersyde,J Michael Straczynski
White Light,William Barton
Ultima One,Richard P Stoughton
Operation,Robert Page Jones
The Ark,Jarl Szydlow
The Day The Earth Stood Still,Arthur Tofte
Noah's Castle,John Rowe Townsend
The Colony,Mary Vigliante
The Land,Mary Vigliante
Source Of Evil,Mary Vigliante
Rip Foster In Ride The Gray Planet,Blake Savage
The Last Breath,Eugene Carl Shaffer
Panic 7,Eugene Carl Shaffer
A Handful Of Silver,Philip Shorter
The Incredible Shrinking Woman,Jody Sibert
Star Giant,Dorothy E Skinkle
The Sandcats Of Rhyl,Robert E Vardeman
The Last Gene,Chris Longo
Death Cloud,Michael Mannion
In This Age Of Stone,Sharon Sosna
An Alien Spring,Anne Schraff
Sexualis '95,Jacques Sternberg
The Institute,Robert Petyo
The Bite Of Monsters,Dennis O'Neil
Jim Dunlap And The Mysterious Orbiting Rocket,Bernard Palmer
Doom Of Three Planets,Robert Pohle
The Implosion Effect,Gary Paulsen
The New Neighbors,Edmund Plante
Death Trek,Jeffrey M Wallmann
Who Killed Utopia,Paul Walker
Wellspring,Edward H Hawkins
The Living One,Jim Hawkins (Ii)
The Baalbak Quest,David J Kelly
No Man's Land,Simon Watson
Galactic Rift,Michael Warner
The Godmakers,Don Pendleton
Cataclysm,Don Pendleton
Civil War Ii,Don Pendleton
The Guns Of Terra 10,Don Pendleton
Population Doomsday,Don Pendleton
Revolt!,Don Pendleton
Perseus Spur,Julian May
Stars And Stripes Forever,Harry Harrison
The Duplicated Man,James Blish
Roc And A Hard Place,Piers Anthony
Yon Ill Wind,Piers Anthony
Rahne,Susan Coon
Cassilee,Susan Coon
The Virgin,Susan Coon
Chiy-Une,Susan Coon
The Brains Of Earth,Jack Vance
The Kingslayer,L Ron Hubbard
Cache From Outer Space,Philip Jose Farmer
Riverworld War,Philip Jose Farmer
Slow Chocolate Autopsy,Dave Mckean
The Good Children,Kate Wilhelm
Quoth The Crow,David Bischoff
The Lazarus Heart,Poppy Z Brite
Clash By Night,Chet Williamson
Wicked Prayer,Norman Partridge
For The Time Being,Marie Desjardin
The Secret Of Platform 13,Eva Ibbotson
Waking In Dreamland,Jody Lynn Nye
The Death Of The Necromancer,Martha Wells
The Magic Circle,Katherine Neville
The Imperial Three,Amy Stout
Quest For The Fallen Star,Piers Anthony
Nameless Magery,Delia Marshall Turner
Marbleheart,Don Callander
Black As Blood,Rob Chilson
With The Lightnings,David Drake
Fever Season,Barbara Hambly
Nightmare's Disciple,"Joseph S Pulver, SR"
"The Flesh, The Blood And The Fire",SA Swiniarski
Icefire,Garfield Reeves-Stevens
Happiness,Frederick Pollack
Godbox,Tim Earnshaw
To Visit The Queen,Diane Duane
The Bone Yard,Paul Johnston
Beneath The Moors,Brian Lumley
Psychomech,Brian Lumley
Psychosphere,Brian Lumley
Psychamok,Brian Lumley
Demogorgon,Brian Lumley
Bag Of Bones,Stephen King
Planet Dreams,Michaela Carlock
Fire Arrow,Edith Pattou
The Magic Bicycle,William Hill
I Am Mordred,Nancy Springer
A Point Of Honor,Dorothy J Heydt
The Ogre's Laboratory,Louis Buss
The Horribly Haunted School,Margaret Mahy
First Blast Of The Trumpet Against The Monstrous Regiment Of Women,Eric Mccormack
Genesis,Charles Grant
Retribution,Elizabeth Forrest
The Demon Spirit,RA Salvatore
The Mist,Kristine Kathryn Rusch
Shadow Of Obsession,Rebecca Neason
For The Emperor,Christine W Murphy
The Life Of God (As Told By Himself),Franco Ferrucci
Kalimantaan,CS Godshalk
Carmilla,Kyle Marffin
The Second Lady Emily,Allison Lane
Court Duel,Sherwood Smith
The Velderet,Cecilia Tan
Signal To Noise,Carla Sinclair
Vast,Linda Nagata
In Legend Born,Laura Resnick
Heroes Die,Matthew Woodring Stover
School Of Fire,Dan Cragg
Hung Out,Don Perrin
Swords Against The Shadowland,Robin Wayne Bailey
Lady Pain,Rebecca Bradley
The Nations Of The Night,Oliver Johnson
Eyes Of The Empress,Camille Bacon-Smith
City Of Iron,Chet Williamson
Gilgamesh,Stephan Grundy
In The Heart Of Darkness,David Drake
Diplomatic Act,Peter Jurasik
The Door Through Washington Square,Elaine Bergstrom
Steelheart,William C Dietz
The Children Star,Joan Slonczewski
Inherit The Earth,Brian Stableford
Bloom,Wil Mccarthy
Song For The Basilisk,Patricia A Mckillip
Brute Orbits,George Zebrowski
The Ghost Of The Revelator,LE Modesitt
Shiva In Steel,Fred Saberhagen
Dragon Tempest,Don Callander
Standing Wave,Howard V Hendrix
Wolf Justice,Doranna Durgin
Article 23,William R Forstchen
Time Beyond Beginning,William Sarabande
The Widowmaker Unleashed,Mike Resnick
The Uncrowned King,Michelle West
The Fires Of Spring,Mary Mackey
Into The Fire,Dennis L Mckiernan
Vespers,Jeff Rovin
The Boar,Joe R Lansdale
The Grandfather Paradox,Steven Burgauer
Sword In The Storm,David Gemmell
Sailing To Sarantium,Guy Gavriel Kay
Ancients Of Days,Paul J Mcauley
Before & After,Matthew Thomas
Eden,WA Harbinson
It Came From On High,Andrew Harman
Mind Changer,James White
The Golden Globe,John Varley
Echoes Of Honor,David Weber
Zombie Lover,Piers Anthony
The Dragon In Lyonesse,Gordon R Dickson
Viper's Spawn,Dan Parkinson
Second Time Around,Joshua Dann
Darkloom,Cary Osborne
Lieutenant,Rick Shelley
The Six Families,Nancy Holder
Operation Damocles,Oscar L Fellows
The Guardian,Angus Wells
Beholder's Eye,Julie E Czerneda
Owlsight,Larry Dixon
The Halloween Man,Douglas Clegg
If Wishes Were Horses,Anne Mccaffrey
Sister To The Rain,Melisa Michaels
The Vampire Armand,Anne Rice
Parable Of The Talents,Octavia E Butler
The Witching Time,Jean Stubbs
The Double,Don Webb
Black Light,Elizabeth Hand
Beyond Freedom,Paul Ware
Wildest Dreams,Norman Partridge
The History Of Our World Beyond The Wave,RE Klein
Diplomacy Of Wolves,Holly Lisle
The One-Armed Queen,Jane Yolen
The Sleeper In The Sands,Tom Holland
Ice Mage,Julia Gray
The Blood Jaguar,Michael H Payne
Kane Of Old Mars,Michael Moorcock
Straker's Island,Steve Harris
California Ghosting,William Hill
Dawn Of The Vampire,William Hill
Vampire's Kiss,William Hill
The Boxes,William Sleator
A Wizard Scorned,Patricia Lucas White
X-Men,Michael Jan Friedman
A Columbus Of Space,Garrett P Serviss
Inversions,Iain M Banks
One Hand Clapping,Lise Leroux
Rubikon,Michael K Iwoleit
Hinter Den Mauern Der Zeit,Michael Iwoleit
Kirinya,Ian Mcdonald
Land Of The Golden Clouds,Archie Weller
The Sum Of All Men,David Farland
Brotherhood Of The Wolf,David Farland
Wizardborn,David Farland
The Islander,Cynthia Rylant
Fool's Joust,Crystal Wood
The Great Fire Of London,Peter Ackroyd
The House Of Doctor Dee,Peter Ackroyd
The House Of Sleep,Anna Kavan
Who Are You?,Anna Kavan
Eagle's Nest,Anna Kavan
The Pendragon,Catherine Christian
Saint Glinglin,Raymond Queneau
The Singing Stones,Phyllis A Whitney
Rainbow In The Mist,Phyllis A Whitney
I Am Thinking Of My Darling,Vincent Mchugh
The King Must Die,Mary Renault
Infiltrator,WR Thompson
The Antelope Wife,Louise Erdrich
The Juror,Harvey Jacobs
Beautiful Soup,Harvey Jacobs
Bellefleur,Joyce Carol Oates
A Garden Of Earthly Delights,Joyce Carol Oates
Them,Joyce Carol Oates
The Ghosts Of Sleath,James Herbert
The Rats,James Herbert
Domain,James Herbert
The City,James Herbert
Haunted,James Herbert
The Fog,James Herbert
Shrine,James Herbert
Creed,James Herbert
The Golden Aquarians,Monica Hughes
St. Louis Blues,Rex Miller
"My Dead Dog, Bobby",Joe R Lansdale
The Final Diary Entry Of Kees Huijgens,William R Stotler
Son Of Darkness,Josepha Sherman
Shadowdance,Robin Wayne Bailey
The Lake Of Fire,Robin Wayne Bailey
The Palace Of Souls,Robin Bailey
Night Watch,Robin Wayne Bailey
The Lost City Of Zork,Robin W Bailey
Enchanter,Robin Wayne Bailey
Thunder Mountain,Barbara Siegel
Survivors,Barbara Siegel
Shockwave,Barbara Siegel
Midnight Chill,Barbara Siegel
Dark Fire,Barbara Siegel
Cold Dread,Barbara Siegel
Beyond Terror,Barbara Siegel
Final Frenzy,Barbara Siegel
Fatal Fear,Barbara Siegel
"Tanis, The Shadow Years",Barbara Siegel
The Burning Land,Barbara Siegel
The Unknown Soldier,Mickey Zucker Reichert
Art & Lies,Jeanette Winterson
Lady Cottington's Pressed Fairy Book,Brian Froud
Stonecutter,John Kuramoto
She Walks These Hills,Sharyn Mccrumb
Street,Jack Cady
The Spellkey,Ann Downer
The Glass Salamander,Ann Downer
The Books Of The Keepers,Ann Downer
Marabou Stork Nightmares,Irvine Welsh
Earth Blood,Laurence James
Deep Trek,Laurence James
Aurora Quest,Laurence James
Bitter Fruit,Mel Odom
Wishbringer,Craig Shaw Gardner
Slaves Of The Volcano God,Craig Shaw Gardner
Revenge Of The Fluffy Bunnies,Craig Shaw Gardner
The Lost Boys,Craig Shaw Gardner
Bride Of The Slime Monster,Craig Shaw Gardner
Back To The Future,Craig Shaw Gardner
Back To The Future Iii,Craig Shaw Gardner
Widowmaker,Peter Morwood
Prince Ivan,Peter Morwood
Greylady,Peter Morwood
The Golden Horde,Peter Morwood
Firebird,Peter Morwood
Seaquest Dsv,Diane Duane
The Winged Man,Moyra Caldecott
The Tower And The Emerald,Moyra Caldecott
The Son Of The Sun,Moyra Caldecott
The Silver Vortex,Moyra Caldecott
Etheldreda,Moyra Caldecott
Daughter Of Amun,Moyra Caldecott
Daughter Of Ra,Moyra Caldecott
The Green Lady And The King Of Shadows,Moyra Caldecott
Child Of The Dark Star,Moyra Caldecott
Myths Of The Sacred Tree,Moyra Caldecott
Wedge's Gamble,Michael A Stackpole
Rogue Squadron,Michael A Stackpole
The Krytos Trap,Michael A Stackpole
Malicious Intent,Michael A Stackpole
U.S.S.A. Book 1,Tom DE Haven
Funny Papers,Tom DE Haven
Freaks' Amour,Tom DE Haven
Night School,Bentley Little
The Mailman,Bentley Little
Dark Dominion,Bentley Little
Threshold,Ursula K Le Guin
Les Racines Du Mal,Maurice G Dantec
The Willing Spirit,Piers Anthony
Triple Detente,Piers Anthony
Total Recall,Piers Anthony
Tatham Mound,Piers Anthony
Tarot,Piers Anthony
Steppe,Piers Anthony
Rings Of Ice,Piers Anthony
The Ring,Piers Anthony
The E.S.P. Worm,Piers Anthony
Race Against Time,Piers Anthony
Prostho Plus,Piers Anthony
Pretender,Piers Anthony
Dark Reunion,LJ Smith
The Fury,LJ Smith
The Struggle,LJ Smith
The Awakening,LJ Smith
The Initiation,LJ Smith
The Captive,LJ Smith
The Power,LJ Smith
The Night Of The Solstice,LJ Smith
Heart Of Valor,LJ Smith
The Kill,LJ Smith
The Chase,LJ Smith
The Hunter,LJ Smith
The Passion,LJ Smith
The Possessed,LJ Smith
The Strange Power,LJ Smith
Wheelworld,Harry Harrison
Stonehenge,Harry Harrison
Starworld,Harry Harrison
The Stainless Steel Rat Wants You!,Harry Harrison
The Stainless Steel Rat Saves The World,Harry Harrison
A Stainless Steel Rat Is Born,Harry Harrison
Spaceship Medic,Harry Harrison
Skyfall,Harry Harrison
A Rebel In Time,Harry Harrison
Queen Victoria's Revenge,Harry Harrison
Planet Of No Return,Harry Harrison
Plague From Space,Harry Harrison
The Jupiter Plague,Harry Harrison
Montezuma's Revenge,Harry Harrison
Invasion,Harry Harrison
"In Our Hands, The Stars",Harry Harrison
Homeworld,Harry Harrison
Captive Universe,Harry Harrison
The California Iceberg,Harry Harrison
"Bill, The Galactic Hero",David Harris
"Bill, The Galactic Hero On The Planet Of Bottled Brains",Harry Harrison
"Bill, The Galactic Hero On The Planet Of Robot Slaves",Harry Harrison
The Woods Out Back,RA Salvatore
The Witch's Daughter,RA Salvatore
The Sword Of Bedwyr,RA Salvatore
Luthien's Gamble,RA Salvatore
The Halfling's Gem,RA Salvatore
The Fallen Fortress,RA Salvatore
The Chaos Curse,RA Salvatore
Streams Of Silver,RA Salvatore
Sojourn,RA Salvatore
Night Masks,RA Salvatore
In Sylvan Shadows,RA Salvatore
Homeland,RA Salvatore
Exile,RA Salvatore
Canticle,RA Salvatore
Echoes Of The Fourth Magic,RA Salvatore
Dragonslayer's Return,RA Salvatore
The Dragon's Dagger,RA Salvatore
The Crystal Shard,RA Salvatore
The Wizard Of Woodworld,Garry Kilworth
Witchwater Country,Garry Kilworth
The Voyage Of The Vigilance,Garry Kilworth
A Theatre Of Timesmiths,Garry Kilworth
Standing On Shamsan,Garry Kilworth
Split Second,Garry Kilworth
Spiral Winds,Garry Kilworth
The Rain Ghost,Garry Kilworth
The Raiders,Garry Kilworth
The Phantom Piper,Garry Kilworth
Midnight's Sun,Garry Kilworth
Hunter's Moon,Garry Kilworth
House Of Tribes,Garry Kilworth
Frost Dancers,Garry Kilworth
The Foxes Of First Dark,Garry Kilworth
The Electric Kid,Garry Kilworth
The Drowners,Garry Kilworth
Cloudrock,Garry Kilworth
The Brontë Girls,Garry Kilworth
Angel,Garry Kilworth
Archangel,Garry D Kilworth
Abandonati,Garry Kilworth
The Street,Garry Kilworth
Highlander,Garry Kilworth
Young Legionary,Douglas Hill
World Of The Stiks,Douglas Hill
Warriors Of The Wasteland,Douglas Hill
Planet Of The Warlord,Douglas Hill
Penelope's Pendant,Douglas Hill
Master Of Fiends,Douglas Hill
Malcolm And The Cloud-Stealer,Douglas Hill
The Lightless Dome,Douglas Hill
The Leafless Forest,Douglas Hill
Galactic Warlord,Douglas Hill
Exiles Of Colsec,Douglas Hill
Deathwing Over Veynaa,Douglas Hill
Day Of The Starwind,Douglas Hill
Colsec Rebellion,Douglas Hill
The Fraxilly Fracas,Douglas Hill
The Colloghi Conspiracy,Douglas Hill
The Caves Of Klydor,Douglas Hill
The Moons Of Lannamur,Douglas Hill
Galaxy's Edge,Douglas Hill
Blade Of The Poisoner,Douglas Hill
The Huntsman,Douglas Hill
Alien Citadel,Douglas Hill
The Exploits Of Hercules,Douglas Hill
Vampire World Ii,Brian Lumley
Vampire World I,Brian Lumley
"Synchronicity, Or Something",Brian Lumley
Sorcery In Shad,Brian Lumley
Necroscope,Brian Lumley
Khai Of Ancient Khem,Brian Lumley
The House Of Doors,Brian Lumley
The Witchwood Cradle,Esther M Friesner
Wishing Season,Esther Friesner
The Water King's Laughter,Esther M Friesner
Unicorn U.,Esther Friesner
Sphynxes Wild,Esther M Friesner
Spells Of Mortal Weaving,Esther M Friesner
The Silver Mountain,Esther M Friesner
Mustapha And His Wise Dog,Esther M Friesner
Majyk By Hook Or Crook,Esther Friesner
Majyk By Design,Esther Friesner
Majyk By Accident,Esther Friesner
Hooray For Hellywood,Esther Friesner
Here Be Demons,Esther Friesner
Harpy High,Esther Friesner
Gnome Man's Land,Esther Friesner
Elf Defense,Esther M Friesner
Demon Blues,Esther Friesner
The Weathermonger,Peter Dickinson
Tulku,Peter Dickinson
"Time And The Clock Mice, Etcetera",Peter Dickinson
Skeleton-In-Waiting,Peter Dickinson
Shadow Of A Hero,Peter Dickinson
Heartsease,Peter Dickinson
Healer,Peter Dickinson
The Gift,Peter Dickinson
Giant Cold,Peter Dickinson
Eva,Peter Dickinson
Emma Tupper's Diary,Peter Dickinson
The Devil's Children,Peter Dickinson
The Dancing Bear,Peter Dickinson
The Changes Trilogy,Peter Dickinson
A Box Of Nothing,Peter Dickinson
A Bone From A Dry Sea,Peter Dickinson
Annerton Pit,Peter Dickinson
Victoria,Ruby Jean Jensen
Vampire Child,Ruby Jean Jensen
Such A Good Baby,Ruby Jean Jensen
Smoke,Ruby Jean Jensen
The Reckoning,Ruby Jean Jensen
Pendulum,Ruby Jean Jensen
Night Thunder,Ruby Jean Jensen
Lost And Found,Ruby Jean Jensen
The Living Evil,Ruby Jean Jensen
The Lake,Ruby Jean Jensen
Jump Rope,Ruby Jean Jensen
House Of Illusions,Ruby Jean Jensen
The Haunting,Ruby Jean Jensen
Death Stone,Ruby Jean Jensen
Chain Letter,Ruby Jean Jensen
Celia,Ruby Jean Jensen
Baby Dolly,Ruby Jean Jensen
Annabelle,Ruby Jean Jensen
The Playmasters,John Dalmas
The Yngling In Yamato,John Dalmas
The Yngling And The Circle Of Power,John Dalmas
The Yngling,John Dalmas
The White Regiment,John Dalmas
The Walkaway Clause,John Dalmas
The Varkaus Conspiracy,John Dalmas
The Scroll Of Man,John Dalmas
Return To Fanglith,John Dalmas
The Regiment's War,John Dalmas
The Regiment,John Dalmas
The Reality Matrix,John Dalmas
The Lizard War,John Dalmas
The Lion Of Farside,John Dalmas
The Lantern Of God,John Dalmas
The Kalif's War,John Dalmas
Homecoming,John Dalmas
Fanglith,John Dalmas
The Bavarian Gate,John Dalmas
Viperhand,Douglas Niles
The Druid Queen,Douglas Niles
The Coral Kingdom,Douglas Niles
Prophet Of Moonshae,Douglas Niles
Ironhelm,Douglas Niles
Feathered Dragon,Douglas Niles
Darkwell,Douglas Niles
Darkwalker On Moonshae,Douglas Niles
Suitors Duel,Douglas Niles
Pawns Prevail,Douglas Niles
Immortal Game,Douglas Niles
The Kagonesti,Douglas Niles
The Kinslayer Wars,Douglas Niles
The Dragons,Douglas Niles
Emperor Of Ansalon,Douglas Niles
A Breach In The Watershed,Douglas Niles
Black Wizards,Douglas Niles
The Rod Of Seven Parts,Douglas Niles
Flint The King,Mary Kirchoff
The World Of Tiers,Philip Jose Farmer
Killobyte,Piers Anthony
Hasan,Piers Anthony
Firefly,Piers Anthony
Earth,Piers Anthony
Balook,Piers Anthony
Victims,Shaun Hutson
The Terminator,Shaun Hutson
Spawn,Shaun Hutson
Slugs,Shaun Hutson
The Skull,Shaun Hutson
Shadows,Shaun Hutson
Renegades,Shaun Hutson
Relics,Shaun Hutson
Nemesis,Shaun Hutson
Lucy's Child,Shaun Hutson
Heathen,Shaun Hutson
Erebus,Shaun Hutson
Deathday,Shaun Hutson
Deadhead,Shaun Hutson
Captives,Shaun Hutson
Breeding Ground,Shaun Hutson
Assassin,Shaun Hutson
The Woods Are Dark,Richard Laymon
Savage,Richard Laymon
Savage,Richard Laymon
Resurrection Dreams,Richard Laymon
One Rainy Night,Richard Laymon
Night Show,Richard Laymon
Midnight's Lair,Richard Laymon
In The Dark,Richard Laymon
Endless Night,Richard Laymon
"Darkness, Tell Us",Richard Laymon
Tread Softly,Richard Laymon
Body Rides,Richard Laymon
Blood Games,Richard Laymon
Beware!,Richard Laymon
The Beast House,Richard Laymon
Allhallow's Eve,Richard Laymon
The Warlock In Spite Of Himself,Christopher Stasheff
A Wizard In Absentia,Christopher Stasheff
The Warlock's Companion,Christopher Stasheff
The Warlock Wandering,Christopher Stasheff
The Warlock Rock,Christopher Stasheff
The Warlock Is Missing,Christopher Stasheff
The Warlock Insane,Christopher Stasheff
The Warlock Heretical,Christopher Stasheff
The Warlock Enraged,Christopher Stasheff
Warlock And Son,Christopher Stasheff
The Sage,Christopher Stasheff
The Shaman,Christopher Stasheff
Quicksilver's Knight,Christopher Stasheff
Escape Velocity,Christopher Stasheff
King Kobold,Christopher Stasheff
Playmates,Andrew Neiderman
Surrogate Child,Andrew Neiderman
"Sister, Sister",Andrew Neiderman
Sight Unseen,Andrew Neiderman
Reflection,Andrew Neiderman
Perfect Little Angels,Andrew Neiderman
Night Howl,Andrew Neiderman
